Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
"A Fatal Grace (Chief Inspector Armand Gamache, #2)",Louise Penny,"Penny, Louise",,0312352565,9780312352561,4,,311,2007,2006,3/21/22,3/21/22,,,read
Born a Crime: Stories from a South African Childhood,Trevor Noah,"Noah, Trevor",,0385689225,9780385689229,4,,289,2016,2016,3/19/22,3/19/22,,,read
Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,"O'Brien, Robert C.",,0689862202,9780689862205,4,,240,2003,1971,3/7/22,3/7/22,,,read
"Neverwhere (London Below, #1)",Neil Gaiman,"Gaiman, Neil",,0060557818,9780060557812,4,,370,2003,1996,2/28/22,2/28/22,,,read
Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,,,4,,418,2021,2021,2/18/22,1/1/21,,,read
The Storyteller: Tales of Life and Music,Dave Grohl,"Grohl, Dave",,0063076098,9780063076099,4,,384,2021,2021,2/8/22,11/2/21,,,read
The Last Flight,Julie   Clark,"Clark, Julie",,1728215722,9781728215723,4,,320,2020,2020,2/6/22,2/6/22,,,read
Cloud Cuckoo Land,Anthony Doerr,"Doerr, Anthony",,1982168439,9781982168438,3,,626,2021,2021,1/30/22,1/30/22,,,read
"A Man With One of Those Faces (Dublin Trilogy publication order, #1; Dublin Trilogy chronological order, #6)",Caimh McDonnell,"McDonnell, Caimh",,0995507511,,4,,364,2016,2016,1/29/22,1/30/22,,,read
"The Book of Magic (Practical Magic, #2)",Alice Hoffman,"Hoffman, Alice",,198215148X,9781982151485,3,,378,2021,2021,1/18/22,2/18/21,,,read
Wuthering Heights,Emily Brontë,"Brontë, Emily","Richard J. Dunn, Charlotte Brontë, John Bugg, Robert Heindel",,,2,,464,2002,1847,1/3/22,1/3/22,,,read
